 Laicaille Habitat, Laicaille 栖息地,noun,,奇了怪了，不带最前面的空格就无法建立术语
(cut comm link),(切断通讯链接),noun,,
(cut comms),(切断通讯),noun,,简写，所以简翻。(cut comm link) 详写版会在别的地方出现
(Fighter),(战机型),noun,,用于武器名字后缀的时候这么翻译，会被 Codex数据百科 检索并分类。alex你到底要根据 name 分类到什么时候？？？？
(lie),(说谎),noun,,
(sarcastic),(讽刺),noun,,
0-flux boost,"""零幅能加速""",noun,"0-flux speed boost
zero-flux engine boost
zero-flux boost
zero flux boost",酌情带引号或不带。不知道为什么好像平台不支持点击插入
100k,"100,000",noun,,
ability,能力,noun,abilities,作为机制时翻译为能力，在其它文本时自行决定
abyssal,深渊,noun,,大地图左下角的区域
abyssal hyperspace,深渊超空间,noun,,大地图左下角的区域
Abyssal Light,深渊光点,noun,,
Academician,院士,noun,,若是指 Sebestyen 和 Elek 等特定人物的头衔则统一翻译成“院士”，其他情况可根据语境进行翻译
accessibility,流通性,noun,,作为术语的时候，不是流通度之类的
administrator,管理员,noun,"admin
admins
administrators",根据实际情况，可适当调整为 管理人员/行政人员 等，润色空间很大。但作为游戏机制名词的时候尽可能翻译为 管理员
Admiral,海军上将,noun,,
agreement,协议\契约\条约，和 spacer 类似地就地灵性翻译,noun,,根据上下文褒贬和语态决定
Alcubierre drive,阿库别瑞引擎,noun,,
alien,外星人,noun,aliens,如果是名词而且语义是异种生命，那么必须强调是高等智慧生命。如果语义不是异种生命而是单纯指陌生，那么随意灵性翻译
Alpha Site,阿尔法研究站,noun,,通灵塔任务中出现
Altair Exotech,牵牛星科技,noun,,中科设计企业之一
ammo,备弹量,noun,,用作文学性描述或口语描述时，建议翻译为：弹药。但是作为机制名词翻译时，必须翻译为：备弹量
Andradan ideology,Andrada 伟大思想,noun,,没有原文的 n
Andradan Movement,Andrada 伟大运动,noun,,没有原文的 n
APCC,APCC,noun,,Agreus 临时商业协定的缩写
Apogee-class,至高点-级,noun,,不是制高点
Archcurate,大祭司,noun,Archurate,卢德剧情人物Jaspis老奶奶的称号
archon,执政官,noun,,英仙座联盟的官职，级别较低，一般来说管理一个殖民地
ARCist,Askonia 革命者委员会,noun,"Antis
ARC
Askonian Revolutionary Council
ARCists
ANTIs",与Askonia革命有关，对抗辛达强权
arcology,生态建筑/生态圈,noun,"arcologies
-arco",可以实现能源环境自给自足稳定循环的巨型建筑。用作复数时，可能翻译为 生态城市/生态城市群
armorer,军械员,noun,,
asteroid belt,小行星带,noun,,
asteroid field,小行星群,noun,,
attendant,圣务侍,noun,attendants,当指代圣地的工作人员时翻译为圣务侍。如果是别的势力或别的情况，那么根据当时语境灵活翻译即可
autofire,自动开火,noun,,不是自动射击
auxiliary,辅助军,noun,,霸主的正规军外编制，比如签雇佣协议的玩家舰队
battery,炮台,noun,batteries,也可能是电池。但不应该翻译为炮塔
Battlestation,作战基地,noun,,
beacon,信标,noun,beacons,
Bhilai Astra Group,比莱空间集团,noun,Bhilai Exospace,企业名，人之领时期的一家重武器制造商，同时也是第200军团的主要供货商
Bishop,主教,noun,Bishops,包括监督、会督，等级高于Curate和Deacon
Blueprint,蓝图,noun,,
Blueprint Package,蓝图包,noun,,
bonus,增益,noun,,除非是剧情里你找谁要钱或者谁找你要钱，抑或是作动词以及其他杂七杂八的情况
bonus experience,额外经验,noun,bonus XP,游戏机制之一
bridge officer,舰桥军官,noun,bridge officers,
Brother,修士,noun,,如果语境和卢德教会相关则如此翻译。如果不相关，则就地灵活翻译
Burn bright,航路无阻,noun,,对话中经常出现，太空佬之间常见的问候，暂译为此
burn level,最大宇宙航速,noun,,
cadet,学员,noun,,霸主的海军学员，未从海军学院毕业，但有的已经开始实习
Capital School,决战教条,noun,,舰队学说的名称，巡洋学派的对手之一
captain,舰长,noun,,统一使用，不要写船长
Charterist resistance forces,宪章运动组织,noun,Charterist rebels,和 Askonia 危机有关，参考历史上的宪章运动 Charterist Movement
Chartery of Opis,Opis 宪章联合体,noun,,
chief engineer,总工程师,noun,engineering chief,玩家舰队里的专业人士
Chief High Inspector,最高检察长,noun,,
chronometer,天文钟,noun,chronometers,
Church of Galactic Redemption,银河救赎教会,noun,"CGR
Church of Galactic Redeption",卢德教会的正式名称
clerk,文书（特指 Oka 手下那位）,noun,,
Codex,数据百科,noun,,
Cold Passage,冷寂远航,noun,,特有名词，专指霸主从星门中继点硬飞到英仙座星域的过程
Collapse,大崩塌,noun,,
colony,殖民地,noun,colonies,
combat readiness,战备值 (CR),noun,,
Combined Fleet Intelligence,联合舰队情报部,noun,,英仙座联盟的部门
comm directory,通讯目录,noun,,
comm id,通讯 ID,noun,"comms id
comm-id
comms-id",
Comm link,通讯链接,noun,"comms link
comm-link",请注意 链接 和 连接 的区别
Comm Relay,通讯中继站,noun,,
command console,控制台,noun,,
command frequency,指挥频道,noun,,
command point,指挥点,noun,command points,
commodity,商品,noun,commodities,
comms officer,通讯军官,noun,,玩家舰队中的专业人士
COMSEC,COMSEC,noun,,不译，霸主部门 Commucation Security
concourse,港区,noun,,concourse本意是指广场，特别是车站和机场这种交通枢纽的站前广场，是一个外地人流大的区域。在游戏的风味文里，船会停在concourse附近的dock卸货，船员在concourse附近活动，小贩在concourse叫卖
connection request,连接请求,noun,,comm xx才是链接
contact,联络人,noun,contacts,用作名词代指一个可与之交互的人时，如果是书面语或 ui 界面则必须翻译为联络人，用作口语或其他情况时就地灵性翻译
Contacts,联络人,noun,,
core world,核心世界,noun,,地名，位于地图中央区域的星系群，偏向于表示有人居住的含义
core worlds,核心世界/核心星区,noun,,根据语义决定选择什么翻译。如果偏向于表示区域那么选 核心星区，如果单纯表示计数或很空泛则选 核心世界
corona,星冕,noun,star's corona,
Coronal Hypershunt,星冕分流器,noun,coronal tap,
credit,星币,noun,credits,作为货币时使用，请不要翻译成信用，信用点
crest,徽标,noun,,涉及势力的用徽标，家族等可使用纹章
crew berth,船员宿舍,noun,"crew berths
crew accomodations
crew accomodation",
Cruiser School,巡洋学派,noun,,舰队学说的名称
cryosanctum,低温避难所,noun,,
cryosleeper,低温休眠舰,noun,,一种巨型星舰，里面搭载了无数低温休眠舱以运载殖民者
Curate,祭司,noun,Curates,包括司铎、长老、牧师、神父。如果不作为单独角色或特定职位后缀，则不翻译为牧师。等级低于Bishop高于Deacon
Curate Sacraria,神龛祭司,noun,,
cycle,星历年,noun,cycles,"用作日期时，翻译为 星历 xxx 年，而不是 第 xxx 星历年。用作口语时可以适当省去 星历 这两个字
在非日期情况下，翻译为 周期"
d-mod,D-插件,noun,"d-mods
D-mod
D-mods",
datapad,数据平板,noun,,
Deacon,执事,noun,Deacons,包括会吏、探题、助祭，等级低于Bishop和Curate
Debris field,残骸区,noun,,不再译成 残骸场
deep space,深空,noun,,
demarch,统领,noun,"demarchon
Demarch-level",英仙座联盟的官职，级别较高，一般来说管理多个殖民地或一个特大殖民地
Deputy Star Marshal,副星际元帅,noun,,由于星际元帅由最高元首兼任，因此副星际元帅是辛达强权事实上的最高星际舰队指挥官
derelict,遗弃船,noun,,
derelict ship,遗弃舰,noun,,
Derinkuyu Mining Station,Derinkuyu 采矿站,noun,Derinkuyu Station,
